	urls
154	https://www.cars-data.com/en/peugeot-106-xn-ace-1-0i-specs/34000
155	https://www.cars-data.com/en/renault-25-ts-specs/78362
156	https://www.cars-data.com/en/skoda-superb-combi-1-4-tsi-greentech-active-specs/71582
157	https://www.cars-data.com/en/kia-clarus-wagon-1-8-slx-specs/19093
158	https://www.cars-data.com/en/mercedes-benz-c-180-blueefficiency-specs/22935
159	https://www.cars-data.com/en/skoda-fabia-1-2-6v-classic-specs/44635
160	https://www.cars-data.com/en/bmw-318ci-cabrio-specs/6955
161	https://www.cars-data.com/en/porsche-968-cabriolet-specs/67829
162	https://www.cars-data.com/en/toyota-cressida-combi-de-luxe-specs/79142
163	https://www.cars-data.com/en/skoda-octavia-1-6-75hp-lx-specs/45073
164	https://www.cars-data.com/en/citroen-c1-1-0i-attraction-specs/9504
165	https://www.cars-data.com/en/toyota-corolla-1-4-16v-vvt-i-linea-terra-specs/48229
166	https://www.cars-data.com/en/bmw-418i-gran-coupe-specs/75176
167	https://www.cars-data.com/en/opel-corsa-1-0-turbo-90hp-business-specs/83198
168	https://www.cars-data.com/en/mercedes-benz-c-180-kompressor-classic-specs/22837
169	https://www.cars-data.com/en/morris-marina-1300-l-specs/59822
170	https://www.cars-data.com/en/honda-accord-tourer-2-0i-comfort-specs/16635
171	https://www.cars-data.com/en/toyota-corolla-stationwagon-1-3-xl-specs/48439
172	https://www.cars-data.com/en/mini-one-55kw-specs/25974
173	https://www.cars-data.com/en/fiat-stilo-1-4-16v-active-specs/12675
174	https://www.cars-data.com/en/opel-sintra-2-2i-16v-gls-specs/32608
175	https://www.cars-data.com/en/ferrari-488-spider-specs/73641
176	https://www.cars-data.com/en/toyota-celica-2-0i-convertible-specs/48088
177	https://www.cars-data.com/en/peugeot-405-break-gl-1-6i-specs/35670
178	https://www.cars-data.com/en/jeep-cherokee-2-4i-sport-specs/18556
179	https://www.cars-data.com/en/honda-civic-1-4i-vtec-specs/16845
180	https://www.cars-data.com/en/volkswagen-beetle-cabrio-1-2-tsi-exclusive-series-specs/74092
181	https://www.cars-data.com/en/hyundai-excel-1-5-l-specs/17352
182	https://www.cars-data.com/en/mitsubishi-space-wagon-1-8-gl-specs/26887
183	https://www.cars-data.com/en/toyota-yaris-verso-1-3-16v-vvt-i-linea-luna-e-specs/49085
184	https://www.cars-data.com/en/alfa-romeo-mito-1-4-specs/74203
185	https://www.cars-data.com/en/ford-mondeo-hybride-titanium-specs/81008
186	https://www.cars-data.com/en/cadillac-escalade-6-0-v8-hybrid-sport-luxury-specs/8784
